TIPO|TRAGLN|SALDO
----|------|-----
1|110100000000|11083902.84
1|110200000000|163235.40
1|110400000000|258932.61
1|110500000000|287287.76
1|120100000000|28942116.41
1|120300000000|33471.46
1|120400000000|13128.00
2|210100000000|156857.36
2|210200000000|277012.36
2|210300000000|1749.22
2|210400000000|301012.33
2|210500000000|-24485.91
2|220100000000|2714695.65
3|310100000000|37614875.64
4|410200000000|435021.01
4|420100000000|6593215.39
4|430100000000|134180.56
4|430200000000|14270.50
5|510100000000|6901995.74
5|510200000000|495.00
5|510300000000|10449.08
5|520100000000|4105.47

(22 rows affected)
